2,1604
2,1993
2,2727
2,3136
2,3024
3,208
3,1175
3,2751
4,1062
4,241
4,469
4,1467
4,2423
5,1732
5,3149
5,3140
5,2336
5,901
6,257
6,638
7,678
7,2471
7,663
7,2435
7,1028
8,10
8,1944
9,732
9,1345
10,1781
11,1076
11,1696
11,1620
11,1781
15,909
15,75
15,117
15,1255
15,1881
16,1993
16,2987
16,2951
16,2910
16,2135
17,13
17,469
17,1445
18,1478
18,2127
18,796
18,3006
20,2583
20,902
20,307
20,2067
20,957
21,914
21,1865
21,2249
21,2866
21,683
22,1865
23,3082
23,2385
23,796
23,2828
23,3136
24,2828
24,2987
24,1478
24,2973
24,1611
25,881
25,2931
25,2727
25,1382
25,1568
26,707
26,2127
26,1886
26,2221
26,1279
27,13
27,2259
27,1725
27,3102
27,1727
28,1144
28,7
28,1150
28,824
29,3031
29,28
29,208
29,2987
29,2808
30,1822
30,902
30,1937
30,957
30,1274
31,1274
32,3152
32,1824
32,2782
32,2905
32,2625
33,1028
34,1858
34,28
34,958
34,1865
34,1541
35,1865
35,1794
35,1605
36,1348
36,2987
36,462
36,2565
39,902
39,1076
39,1972
39,1976
39,2567
41,1070
41,1224
42,2987
42,2872
43,914
43,1865
43,1605
43,2802
43,136
44,2115
44,2794
44,322
44,610
44,957
46,2815
47,2809
48,2085
48,776
51,1489
51,142
51,1886
51,2221
51,1279
52,60
52,2298
53,3024
53,1852
53,128
54,3136
54,3024
54,1289
54,1268
54,1070
55,2272
55,624
56,3031
56,3199
56,1478
56,1808
56,2669
57,3006
58,1139
59,1478
60,2725
60,1345
62,2208
65,2097
65,735
65,3061
65,2059
65,1714
66,2963
66,996
68,674
68,2836
68,1070
68,1228
68,1345
70,1076
70,2679
70,1451
70,2234
70,1055
72,2896
72,1832
73,3024
73,3155
73,380
73,1589
74,243
74,2735
74,28
74,580
74,2017
76,1604
76,1993
76,2987
76,1012
76,3136
77,2751
77,3006
77,1430
78,1478
78,1722
78,131
79,439
82,1242
83,2385
83,3082
83,902
83,2318
83,1800
84,1070
85,3101
85,1478
85,2751
85,1374
85,560
86,439
87,369
87,2683
87,674
87,416
87,2987
88,1963
88,3115
88,460
88,2778
88,2029
90,1604
90,2727
90,1076
90,3024
90,2000
91,2670
91,1342
91,614
92,2258
92,1028
92,617
92,1478
92,3136
93,28
93,796
93,101
93,1012
93,2127
94,1076
94,1644
94,979
95,3031
95,3143
95,2931
95,705
95,1345
96,942
96,275
96,3101
96,1477
96,674
97,1451
98,1489
99,1477
99,707
99,1478
99,2669
99,1274
100,3031
100,1567
100,1703
100,1345
101,405
101,694
101,2943
101,1213
102,914
102,28
102,2987
102,2513
102,1224
103,2053
103,2714
103,2006
103,2392
103,850
104,3053
104,2987
104,1846
104,2640
104,674
105,1606
106,942
106,2205
106,961
106,1345
107,1062
107,65
107,3017
107,2963
108,2258
108,1589
108,1882
108,2127
108,3024
109,3024
109,119
109,1519
109,606
109,2419
110,1239
110,35
110,3053
110,28
110,1972
111,2906
111,3193
113,634
113,2763
113,2998
113,2390
113,2927
115,590
115,1972
115,3024
115,380
115,1589
116,208
116,1846
116,1478
116,2973
116,119
117,2963
118,1069
119,2435
119,262
119,2987
119,369
119,678
120,2987
120,453
120,2781
120,2931
120,2782
121,1501
121,28
121,1972
121,380
121,1589
122,1882
122,902
122,2208
122,191
123,955
123,914
123,3071
123,996
123,1832
124,980
124,1289
124,1268
125,833
125,957
125,1274
125,2250
125,2126
126,964
126,2808
126,1976
126,1470
126,2168
127,1689
127,2530
127,1703
127,2828
127,2931
128,2583
128,1062
128,2727
128,2931
128,2025
129,57
129,642
129,2940
129,2843
130,1387
131,369
131,2866
131,2272
131,262
131,1028
132,1478
133,2310
134,1604
134,2469
134,1703
134,2127
134,462
